local_id_attribute	symbol	geneid
194_200666_s_at	DNAJB1	3337
195_200667_at	UBE2D3	7323
196_200668_s_at	UBE2D3	7323
197_200669_s_at	UBE2D3	7323
198_200670_at	XBP1	7494
199_200671_s_at	SPTBN1	6711
200_200672_x_at	SPTBN1	6711
201_200673_at	LAPTM4A	9741
202_200674_s_at	RPL32	6161
203_200675_at	CD81	975
204_200676_s_at	UBE2L3	7332
205_200677_at	PTTG1IP	754
206_200678_x_at	GRN	2896
207_200679_x_at	HMGB1	3146
208_200680_x_at	HMGB1	3146
209_200681_at	GLO1	2739
210_200682_s_at	UBE2L3	7332
211_200683_s_at	UBE2L3	7332
212_200684_s_at	UBE2L3	7332
213_200685_at	SFRS11	9295
214_200686_s_at	SFRS11	9295
215_200687_s_at	SF3B3	23450
216_200688_at	SF3B3	23450
217_200689_x_at	EEF1G	1937
218_200690_at	HSPA9	3313
219_200691_s_at	HSPA9	3313
220_200692_s_at	HSPA9	3313
221_200693_at	YWHAQ	10971
222_200694_s_at	DDX24	57062
223_200695_at	PPP2R1A	5518
224_200696_s_at	GSN	2934
225_200697_at	HK1	3098
226_200698_at	KDELR2	11014
227_200699_at	KDELR2	11014
228_200700_s_at	KDELR2	11014
229_200701_at	NPC2	10577
230_200702_s_at	DDX24	57062
231_200703_at	DYNLL1	8655
232_200704_at	LITAF	9516
233_200705_s_at	EEF1B2	1933
234_200706_s_at	LITAF	9516
235_200707_at	PRKCSH	5589
236_200708_at	GOT2	2806
237_200709_at	FKBP1A	2280
238_200710_at	ACADVL	37
239_200711_s_at	SKP1	6500
240_200712_s_at	MAPRE1	22919
241_200713_s_at	MAPRE1	22919
242_200714_x_at	OS9	10956
243_200715_x_at	RPL13A	23521
244_200716_x_at	RPL13A	23521
245_200717_x_at	RPL7	6129
246_200718_s_at	SKP1	6500
247_200719_at	SKP1	6500
248_200720_s_at	ACTR1A	10121
249_200721_s_at	ACTR1A	10121
250_200722_s_at	CAPRIN1	4076
251_200723_s_at	CAPRIN1	4076
252_200724_at	RPL10	6134
253_200725_x_at	RPL10	6134
254_200726_at	PPP1CC	5501
255_200727_s_at	ACTR2	10097
256_200728_at	ACTR2	10097
257_200729_s_at	ACTR2	10097
258_200730_s_at	PTP4A1	7803
259_200731_s_at	PTP4A1	7803
260_200732_s_at	PTP4A1	7803
261_200733_s_at	PTP4A1	7803
262_200734_s_at	ARF3	377
263_200735_x_at	NACA	4666
264_200736_s_at	GPX1	2876
265_200737_at	PGK1	5230
266_200738_s_at	PGK1	5230
267_200739_s_at	SUMO3	6612
268_200740_s_at	SUMO3	6612
269_200741_s_at	RPS27	6232
270_200742_s_at	TPP1	1200
271_200743_s_at	TPP1	1200
272_200744_s_at	GNB1	2782
273_200745_s_at	GNB1	2782
274_200746_s_at	GNB1	2782
275_200747_s_at	NUMA1	4926
276_200748_s_at	FTH1	2495
277_200749_at	RAN	5901
278_200750_s_at	RAN	5901
279_200751_s_at	HNRNPC	3183
280_200752_s_at	CAPN1	823
281_200753_x_at	SFRS2	6427
282_200754_x_at	SFRS2	6427
283_200755_s_at	CALU	813
284_200756_x_at	CALU	813
285_200757_s_at	CALU	813
286_200758_s_at	NFE2L1	4779
287_200759_x_at	NFE2L1	4779
288_200760_s_at	ARL6IP5	10550
289_200761_s_at	ARL6IP5	10550
290_200762_at	DPYSL2	1808
291_200763_s_at	RPLP1	6176
292_200764_s_at	CTNNA1	1495
293_200765_x_at	CTNNA1	1495
294_200766_at	CTSD	1509
295_200767_s_at	FAM120A	23196
296_200768_s_at	MAT2A	4144
297_200769_s_at	MAT2A	4144
298_200770_s_at	LAMC1	3915
299_200771_at	LAMC1	3915
300_200772_x_at	PTMA	5757
301_200773_x_at	PTMA	5757
302_200774_at	FAM120A	23196
303_200775_s_at	HNRNPK	3190
304_200776_s_at	NA	NA
305_200777_s_at	BZW1	9689
306_200778_s_at	2-Sep	4735
307_200779_at	ATF4	468
308_200780_x_at	GNAS	2778
309_200781_s_at	RPS15A	6210
310_200782_at	ANXA5	308
311_200783_s_at	STMN1	3925
312_200784_s_at	LRP1	4035
313_200785_s_at	LRP1	4035
314_200786_at	PSMB7	5695
315_200787_s_at	PEA15	8682
316_200788_s_at	PEA15	8682
317_200789_at	ECH1	1891
318_200790_at	ODC1	4953
319_200791_s_at	IQGAP1	8826
320_200792_at	XRCC6	2547
321_200793_s_at	ACO2	50
322_200794_x_at	DAZAP2	9802
323_200795_at	SPARCL1	8404
324_200796_s_at	MCL1	4170
325_200797_s_at	MCL1	4170
326_200798_x_at	MCL1	4170
327_200799_at	HSPA1A	3303
328_200800_s_at	NA	NA
329_200801_x_at	ACTB	60
330_200802_at	SARS	6301
331_200803_s_at	TMBIM6	7009
332_200804_at	TMBIM6	7009
333_200805_at	LMAN2	10960
334_200806_s_at	HSPD1	3329
335_200807_s_at	HSPD1	3329
336_200808_s_at	ZYX	7791
337_200809_x_at	RPL12	6136
338_200810_s_at	CIRBP	1153
339_200811_at	CIRBP	1153
340_200812_at	CCT7	10574
341_200813_s_at	PAFAH1B1	5048
342_200814_at	PSME1	5720
343_200815_s_at	PAFAH1B1	5048
344_200816_s_at	PAFAH1B1	5048
345_200817_x_at	RPS10	6204
346_200818_at	ATP5O	539
347_200819_s_at	RPS15	6209
348_200820_at	PSMD8	5714
349_200821_at	LAMP2	3920
350_200822_x_at	TPI1	7167
351_200823_x_at	RPL29	6159
352_200824_at	GSTP1	2950
353_200825_s_at	HYOU1	10525
354_200826_at	SNRPD2	6633
355_200827_at	PLOD1	5351
356_200828_s_at	ZNF207	7756
357_200829_x_at	ZNF207	7756
358_200830_at	PSMD2	5708
359_200831_s_at	SCD	6319
360_200832_s_at	SCD	6319
361_200833_s_at	NA	NA
362_200834_s_at	NA	NA
363_200835_s_at	MAP4	4134
364_200836_s_at	MAP4	4134
365_200837_at	BCAP31	10134
366_200838_at	CTSB	1508
367_200839_s_at	CTSB	1508
368_200840_at	KARS	3735
369_200841_s_at	EPRS	2058
370_200842_s_at	EPRS	2058
371_200843_s_at	EPRS	2058
372_200844_s_at	PRDX6	9588
373_200845_s_at	PRDX6	9588
374_200846_s_at	PPP1CA	5499
375_200847_s_at	TMEM66	51669
376_200848_at	AHCYL1	10768
377_200849_s_at	AHCYL1	10768
378_200850_s_at	AHCYL1	10768
379_200851_s_at	KIAA0174	9798
380_200852_x_at	GNB2	2783
381_200853_at	H2AFZ	3015
382_200854_at	NCOR1	9611
383_200855_at	NA	NA
384_200856_x_at	NA	NA
385_200857_s_at	NCOR1	9611
386_200858_s_at	RPS8	6202
387_200859_x_at	FLNA	2316
388_200860_s_at	CNOT1	23019
389_200861_at	CNOT1	23019
390_200862_at	DHCR24	1718
391_200863_s_at	RAB11A	8766
392_200864_s_at	RAB11A	8766
393_200865_at	EIF3F	8665
394_200866_s_at	PSAP	5660
395_200867_at	RNF114	55905
396_200868_s_at	RNF114	55905
397_200869_at	NA	NA
398_200870_at	STRAP	11171
399_200871_s_at	PSAP	5660
400_200872_at	S100A10	6281
401_200873_s_at	CCT8	10694
402_200874_s_at	NOP56	10528
403_200875_s_at	NOP56	10528
404_200876_s_at	PSMB1	5689
405_200877_at	CCT4	10575
406_200878_at	EPAS1	2034
407_200879_s_at	EPAS1	2034
408_200880_at	DNAJA1	3301
409_200881_s_at	DNAJA1	3301
410_200882_s_at	PSMD4	5710
411_200883_at	UQCRC2	7385
412_200884_at	CKB	1152
413_200885_at	NA	NA
414_200886_s_at	PGAM1	5223
415_200887_s_at	STAT1	6772
416_200888_s_at	RPL23	9349
417_200889_s_at	SSR1	6745
418_200890_s_at	SSR1	6745
419_200891_s_at	SSR1	6745
420_200892_s_at	TRA2B	6434
421_200893_at	TRA2B	6434
422_200894_s_at	FKBP4	2288
423_200895_s_at	FKBP4	2288
424_200896_x_at	HDGF	3068
425_200897_s_at	PALLD	23022
426_200898_s_at	MGEA5	10724
427_200899_s_at	MGEA5	10724
428_200900_s_at	M6PR	4074
429_200901_s_at	M6PR	4074
430_200902_at	15-Sep	9403
431_200903_s_at	AHCY	191
432_200904_at	HLA-E	3133
433_200905_x_at	HLA-E	3133
434_200906_s_at	PALLD	23022
435_200907_s_at	PALLD	23022
436_200908_s_at	RPLP2	6181
437_200909_s_at	RPLP2	6181
438_200910_at	CCT3	7203
439_200911_s_at	TACC1	6867
440_200912_s_at	EIF4A2	1974
441_200913_at	PPM1G	5496
